REEF_NAME,P_CODE.mod
(LITTLE) BROADHURST REEF,RM
13040S,RM
13063S,RM
13121S,RM
13124S,RM
14056S,RM
14075S,RM
15034S,RM
15047S,RM
15077S,RM
16013A,RM
16013B,RM
16013C,RM
16017S,RM
18023S,RM
19131S,RM
19138S,RM
19188S,RM
20104S,RM
20348S,RAP
20353S,RAP
20354S,RM
21060S,RAP
21062S,RAP
21064S,RAP
21074S,RM
21104S,RM
21139S,RAP
21140S,RM
21186S,RM
21187S,RAP
21245S,RAP
21278S,RAP
21296S,RAP
21302S,RAP
21467S,RM
21529S,RMRAP
21550S,RAP
21557S1,RM
21558S,RAP
21591S,RAP
22084S,RAP
22110S,RM
22112S,RM
22113S,RM
22114S,RM
22118S,RM
22144S,RM
AGINCOURT REEFS (NO 1),RMRAP
AGINCOURT REEFS (NO 3),RM
AGINCOURT REEFS (NO 4),RM
ANDERSEN REEF,RM
ARC REEF,RM
ARLINGTON REEF,RAP
ASHMORE BANKS (1),RMRAP
ASHMORE BANKS (2),RM
ASHMORE BANKS (3),RM
BACCHI CAY,RM
BAIT REEF,RM
BEAVER REEF,RM
BELL REEF,RM
BEN REEF,RM
BIRD ISLANDS REEF (NORTH),RM
BORDER ISLAND REEF (NO 1),RM
BOULDER REEF,RM
BOULT REEF,RAP
BOWDEN REEF,RM
BRAMBLE REEF,RM
BRIGGS REEF (NO 4),RM
BROOMFIELD REEF,RMRAP
CANNAN REEF,RM
CARTER REEF,RM
CELEBRATION REEF,RM
CENTIPEDE REEF,RAP
CENTRAL REEF,RM
CHARITY REEF,RM
CHICKEN REEF,RMRAP
CHINAMAN REEF(16024),RM
CHINAMAN REEF(22102),RMRAP
CLACK REEF,RM
COIL REEF,RM
CONDER REEF,RM
CRAB REEF,RM
CREAL REEF,RM
CREDLIN REEFS (EAST),RMRAP
CREECH REEF (NORTH),RM
CURD REEF,RM
DAVIE REEF,RM
DAVIES REEF,RM
DICKS REEF,RM
DIP REEF,RM
EAST CAY REEF,RMRAP
EDGELL REEFS (NO 5),RM
EGRET REEF,RM
ELIZABETH REEF,RM
ELLISON REEF,RM
ERSKINE REEF,RAP
ESCAPE (1),RM
EUSTON REEF,RM
EVENING REEF,RM
EYE REEF,RM
EYRIE REEF,RM
FAIREY REEF (NO 1),RM
FAIRFAX ISLANDS REEF,RAP
FAITH REEF,RM
FARADAY REEF,RM
FANTOME (EUMILLI) ISLAND REEF,RM
FARQUHARSON REEF (NO 1),RAP
FEATHER REEF,RMRAP
FIFE REEF,RM
FITZROY ISLAND REEF,RM
FITZROY REEF,RM
FLORA REEF,RM
FLY REEF,RMRAP
FLYNN REEF,RM
FORBES ISLANDS REEF,RM
FORE AND AFT REEF,RMRAP
FORK REEF,RAP
FORRESTER REEF,RM
FRIGATE REEF,RM
GANNETT CAY REEF,RMRAP
GILBEY REEF,RM
GLOW REEF,RM
GREEN ISLAND REEF,RM
GRUB REEF(18077),RAP
HARDY REEF,RM
HARRIER REEF,RM
HASTINGS REEF,RMRAP
HAVANNAH REEF,RM
HAYMAN ISLAND REEF,RM
HEDLEY REEF,RAP
HELIX REEF,RAP
HELSDON REEF,RM
HERON REEF,RM
HICKS REEF(14086),RM
HILDER REEF,RMRAP
HOLBOURNE ISLAND REEF,RM
