SAMPLE_ID,REGION,A_SECTOR,SHELF,REEF_ID,REEF_NAME,REPORT_YEAR,M_LIVE,MEAN_LIVE,change,number of years,annual change,GBRMPA
NU009M,Northern,CG,M,11184C1,SIR CHARLES HARDY ISLANDS (1),2017,1U,10,-42.566,4,-10.6415,Far Northern
NU010M,Northern,CG,M,11184C2,SIR CHARLES HARDY ISLANDS (2),2017,1U,10.357,-38.936,4,-9.734,Far Northern
NZ008M,Northern,CG,M,11211S,PEARSON REEF,2017,1U,11.97,-16.209,4,-4.05225,Far Northern
NZ007M,Northern,CG,M,11222S2,MIDDLE BANKS (2),2017,3U/4L,52.125,-11.375,4,-2.84375,Far Northern
NZ006M,Northern,CG,M,11222S3,MIDDLE BANKS B (3),2017,4L,53.021,17.339,4,4.33475,Far Northern
NZ005M,Northern,CG,M,11237A,ASHMORE BANKS (1),2017,4L,58.977,35.568,4,8.892,Far Northern
NZ004M,Northern,CG,M,11237B,ASHMORE BANKS (2),2017,4L,54.196,27.767,4,6.94175,Far Northern
NZ003M,Northern,CG,M,11237C,ASHMORE BANKS (3),2017,4L,58.409,35.18,4,8.795,Far Northern
NU008M,Northern,CG,I,12010S,KAY REEF,2017,1U,14.246,-41.052,4,-10.263,Far Northern
NZ002M,Northern,CG,M,12027B,QUOIN REEF(12027),2017,1U,12.5,0.714,4,0.1785,Far Northern
NU011M,Northern,CG,I,12102S,CURD REEF,2017,2L,12.75,-19.203,4,-4.80075,Far Northern
NU012M,Northern,PC,I,13006S,OSBORNE REEF,2017,2L,15,-1.615,4,-0.40375,Far Northern
NU007M,Northern,PC,M,13041S,CELEBRATION REEF,2017,1U,11.759,-0.581,4,-0.14525,Far Northern
NU006M,Northern,PC,M,13060S,BLANCHARD REEF,2017,1U,11.745,-4.883,4,-1.22075,Far Northern
NU013M,Northern,PC,M,13072S,MORRIS ISLAND REEF,2017,2U,23.784,3.031,4,0.75775,Far Northern
NU005M,Northern,PC,O,13118A,CREECH REEF (NORTH),2017,3L,32.256,-21.608,2,-10.804,Far Northern
NU004M,Northern,PC,O,13121S,13121S,2017,1U/2L,11.477,-13.633,2,-6.8165,Far Northern
NJ009M,Northern,PC,M,13124S,13124S,2015,2U,25.357,-5.127,2,-2.5635,Far Northern
NU001M,Northern,PC,M,13124S,13124S,2017,2U,20.299,-5.058,2,-2.529,Far Northern
NU003M,Northern,PC,O,13127S,RODDA REEF,2017,2U,24.716,-10.352,2,-5.176,Far Northern
NZ009M,Northern,PC,O,13130S,DAVIE REEF,2017,2U,25.058,-10.692,2,-5.346,Far Northern
NU002M,Northern,PC,I,14017S,CLACK REEF,2017,2L,18.208,-20.382,4,-5.0955,Far Northern
NJ007M,Northern,CL,M,14114S,MACGILLIVRAY REEF,2015,1L/1U,6.667,-27.544,2,-13.772,Cairns/Cooktown
NW003M,Northern,CL,M,14114S,MACGILLIVRAY REEF,2017,1L,4.821,-1.846,2,-0.923,Cairns/Cooktown
NJ017M,Northern,CL,M,14116S,LIZARD ISLAND,2015,1L,5.235,-6.277,2,-3.1385,Cairns/Cooktown
NZ012M,Northern,CL,M,14116S,LIZARD ISLAND,2017,1L,3.182,-2.053,2,-1.0265,Cairns/Cooktown
NW002M,Northern,CL,I,14123S,MARTIN REEF(14123),2017,1L,6.389,-21.055,4,-5.26375,Cairns/Cooktown
NW001M,Northern,CL,I,14126S,LINNET REEF,2017,1L,2.917,-25.19,4,-6.2975,Cairns/Cooktown
NJ006M,Northern,CL,O,14137S,CARTER REEF,2015,1U,9.688,-2.812,2,-1.406,Cairns/Cooktown
